full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long
Simi Valley CA,Simi Valley,California,-0.01,0.01,0.11,-0.02,0.01,121033,34.26,-118.75
Roseville CA,Roseville,California,0.06,-0.06,0.08,0.06,-0.07,120444,38.76,-121.29
Waco TX,Waco,Texas,0.04,-0.04,0.01,0.05,0.02,119911,31.57,-97.18
Olathe KS,Olathe,Kansas,-0.03,0.01,0.07,-0.03,-0.06,118165,38.89,-94.81
Columbia SC,Columbia,South Carolina,0.13,-0.07,-0.01,0.02,0.06,118020,34.04,-80.89
Lansing MI,Lansing,Michigan,-0.07,0.07,-0.01,-0.03,0.01,117236,42.71,-84.55
Inglewood CA,Inglewood,California,0.1,-0.15,-0.06,-0.03,0.15,116797,33.96,-118.34
Springfield IL,Springfield,Illinois,0.01,0.1,-0.07,-0.04,-0.1,116725,39.78,-89.64
Flint MI,Flint,Michigan,0.06,-0.07,-0.09,0.06,0.02,115691,43.02,-83.69
Evansville IN,Evansville,Indiana,-0.03,0.02,0.02,0,-0.04,114237,37.98,-87.54
West Valley City UT,West Valley City,Utah,-0.04,-0.05,0.09,-0.01,-0.09,113989,40.69,-112.01
Abilene TX,Abilene,Texas,-0.06,0.08,0.03,0.06,-0.02,113888,32.45,-99.74
Ann Arbor MI,Ann Arbor,Michigan,-0.04,-0.01,-0.01,-0.03,0.16,113716,42.28,-83.73
Clarksville TN,Clarksville,Tennessee,0,0.05,-0.01,0.01,-0.1,113379,36.56,-87.35
Peoria IL,Peoria,Illinois,-0.01,0.02,-0.02,0.02,-0.04,112894,40.74,-89.61
Downey CA,Downey,California,0.01,-0.04,0.05,-0.01,0.08,112762,33.94,-118.13
Lafayette LA,Lafayette,Louisiana,0.07,0.01,0.02,0,-0.02,112317,30.22,-92.03
Bellevue WA,Bellevue,Washington,-0.03,-0.02,0.07,-0.04,-0.04,111896,47.6,-122.16
Beaumont TX,Beaumont,Texas,0.02,-0.03,0.02,0.05,0.01,110949,30.09,-94.14
West Covina CA,West Covina,California,0.01,-0.04,0.04,-0.08,0.02,110646,34.05,-117.91
Visalia CA,Visalia,California,-0.02,0.07,0.05,-0.02,-0.03,110620,36.33,-119.32
Manchester NH,Manchester,New Hampshire,0.05,0.03,0.04,0.02,-0.06,110384,42.98,-71.44
Independence MO,Independence,Missouri,0.02,-0.02,0.05,-0.01,-0.07,110124,39.09,-94.35
Norwalk CA,Norwalk,California,0.02,-0.01,-0.02,-0.04,0.12,110002,33.91,-118.08
Thornton CO,Thornton,Colorado,0.01,-0,0.1,-0.02,0.04,109695,39.89,-104.96
